# PROTOTYPE - NOT FOR PRODUCTION
# Frame-by-frame verification for yaw, harpoon projectile, and procedural rope
frame,time,delta_ms,phase,yaw_degrees,extension,projectile_distance,rope_length,rope_visible,rope_start_error,rope_end_error,static_base_drift
55,1.858333,33.333333,ROPE TAUT,28.000000,1.000000,6.000000,6.002143,true,0.00000000,0.00000000,0.00000000
56,1.891667,33.333333,ROPE TAUT,28.000000,1.000000,6.000000,6.002394,true,0.00000000,0.00000000,0.00000000
57,1.925000,33.333333,ROPE TAUT,28.000000,1.000000,6.000000,6.002261,true,0.00000000,0.00000000,0.00000000
58,1.958333,33.333333,ROPE TAUT,28.000000,1.000000,6.000000,6.002017,true,0.00000000,0.00000000,0.00000000
59,1.991667,33.333333,ROPE TAUT,28.000000,1.000000,6.000000,6.002165,true,0.00000000,0.00000000,0.00000000
60,2.025000,33.333333,ROPE TAUT,28.000000,1.000000,6.000000,6.002400,true,0.00000000,0.00000000,0.00000000
61,2.058333,33.333333,ROPE TAUT,28.000000,1.000000,6.000000,6.002239,true,0.00000000,0.00000000,0.00000000
62,2.091667,33.333333,ROPE TAUT,28.000000,1.000000,6.000000,6.002013,true,0.00000000,0.00000000,0.00000000
63,2.125000,33.333333,ROPE TAUT,28.000000,1.000000,6.000000,6.002188,true,0.00000000,0.00000000,0.00000000
64,2.158333,33.333333,REELING IN,28.000000,0.999856,5.999135,6.001541,true,0.00000000,0.00000000,0.00000000
65,2.191667,33.333333,REELING IN,28.000000,0.996467,5.978800,5.981079,true,0.00000000,0.00000000,0.00000000
66,2.225000,33.333333,REELING IN,28.000000,0.988770,5.932617,5.934832,true,0.00000000,0.00000000,0.00000000
67,2.258333,33.333333,REELING IN,28.000000,0.977021,5.862127,5.864762,true,0.00000000,0.00000000,0.00000000
68,2.291667,33.333333,REELING IN,28.000000,0.961479,5.768876,5.772013,true,0.00000000,0.00000000,0.00000000
69,2.325000,33.333333,REELING IN,28.000000,0.942401,5.654406,5.657765,true,0.00000000,0.00000000,0.00000000
70,2.358333,33.333333,REELING IN,28.000000,0.920043,5.520258,5.524001,true,0.00000000,0.00000000,0.00000000
71,2.391667,33.333333,REELING IN,28.000000,0.894663,5.367979,5.372623,true,0.00000000,0.00000000,0.00000000
72,2.425000,33.333333,REELING IN,28.000000,0.866518,5.199110,5.204772,true,0.00000000,0.00000000,0.00000000
73,2.458333,33.333333,REELING IN,28.000000,0.835866,5.015195,5.021742,true,0.00000000,0.00000000,0.00000000
74,2.491667,33.333333,REELING IN,28.000000,0.802963,4.817777,4.825534,true,0.00000000,0.00000000,0.00000000
75,2.525000,33.333333,REELING IN,28.000000,0.768066,4.608398,4.617975,true,0.00000000,0.00000000,0.00000000
76,2.558333,33.333333,REELING IN,28.000000,0.731434,4.388603,4.400265,true,0.00000000,0.00000000,0.00000000
77,2.591667,33.333333,REELING IN,28.000000,0.693323,4.159935,4.173825,true,0.00000000,0.00000000,0.00000000
78,2.625000,33.333333,REELING IN,28.000000,0.653989,3.923936,3.940660,true,0.00000000,0.00000000,0.00000000
79,2.658333,33.333333,REELING IN,28.000000,0.613692,3.682151,3.702560,true,0.00000000,0.00000000,0.00000000
80,2.691667,33.333333,REELING IN,28.000000,0.572687,3.436121,3.460846,true,0.00000000,0.00000000,0.00000000
81,2.725000,33.333333,REELING IN,28.000000,0.531232,3.187391,3.217114,true,0.00000000,0.00000000,0.00000000
82,2.758333,33.333333,REELING IN,28.000000,0.489584,2.937504,2.973408,true,0.00000000,0.00000000,0.00000000
83,2.791667,33.333333,REELING IN,28.000000,0.448000,2.688002,2.731582,true,0.00000000,0.00000000,0.00000000
84,2.825000,33.333333,REELING IN,28.000000,0.406738,2.440430,2.493220,true,0.00000000,0.00000000,0.00000000
85,2.858333,33.333333,REELING IN,28.000000,0.366055,2.196329,2.260223,true,0.00000000,0.00000000,0.00000000
86,2.891667,33.333333,REELING IN,28.000000,0.326207,1.957244,2.034855,true,0.00000000,0.00000000,0.00000000
87,2.925000,33.333333,REELING IN,28.000000,0.287453,1.724718,1.819305,true,0.00000000,0.00000000,0.00000000
88,2.958333,33.333333,REELING IN,28.000000,0.250049,1.500293,1.615739,true,0.00000000,0.00000000,0.00000000
89,2.991667,33.333333,REELING IN,28.000000,0.214252,1.285514,1.426677,true,0.00000000,0.00000000,0.00000000
90,3.025000,33.333333,REELING IN,28.000000,0.180320,1.081923,1.254911,true,0.00000000,0.00000000,0.00000000
91,3.058333,33.333333,REELING IN,28.000000,0.148511,0.891063,1.103130,true,0.00000000,0.00000000,0.00000000
92,3.091667,33.333333,REELING IN,28.000000,0.119080,0.714478,0.973764,true,0.00000000,0.00000000,0.00000000
93,3.125000,33.333333,REELING IN,28.000000,0.092285,0.553711,0.868754,true,0.00000000,0.00000000,0.00000000
94,3.158333,33.333333,REELING IN,28.000000,0.068384,0.410305,0.788942,true,0.00000000,0.00000000,0.00000000
95,3.191667,33.333333,REELING IN,28.000000,0.047634,0.285803,0.733498,true,0.00000000,0.00000000,0.00000000
96,3.225000,33.333333,REELING IN,28.000000,0.030292,0.181749,0.699745,true,0.00000000,0.00000000,0.00000000
97,3.258333,33.333333,REELING IN,28.000000,0.016614,0.099686,0.683302,true,0.00000000,0.00000000,0.00000000
98,3.291667,33.333333,REELING IN,28.000000,0.006859,0.041156,0.678597,true,0.00000000,0.00000000,0.00000000
99,3.325000,33.333333,REELING IN,28.000000,0.001284,0.007704,0.000000,false,0.00000000,0.00000000,0.00000000
100,3.358333,33.333333,RETURNING,27.982812,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
101,3.391667,33.333333,RETURNING,27.581609,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
102,3.425000,33.333333,RETURNING,26.681050,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
103,3.458333,33.333333,RETURNING,25.324558,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
104,3.491667,33.333333,RETURNING,23.555556,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
105,3.525000,33.333333,RETURNING,21.417464,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
106,3.558333,33.333333,RETURNING,18.953706,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
107,3.591667,33.333333,RETURNING,16.207703,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
108,3.625000,33.333333,RETURNING,13.222878,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
109,3.658333,33.333333,RETURNING,10.042653,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
110,3.691667,33.333333,RETURNING,6.710451,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
111,3.725000,33.333333,RETURNING,3.269693,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
112,3.758333,33.333333,RETURNING,-0.236199,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
113,3.791667,33.333333,RETURNING,-3.763801,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
114,3.825000,33.333333,RETURNING,-7.269693,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
115,3.858333,33.333333,RETURNING,-10.710451,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
116,3.891667,33.333333,RETURNING,-14.042653,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
117,3.925000,33.333333,RETURNING,-17.222878,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
118,3.958333,33.333333,RETURNING,-20.207703,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
119,3.991667,33.333333,RETURNING,-22.953706,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
120,4.025000,33.333333,RETURNING,-25.417464,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
121,4.058333,33.333333,RETURNING,-27.555556,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
122,4.091667,33.333333,RETURNING,-29.324558,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
123,4.125000,33.333333,RETURNING,-30.681050,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
124,4.158333,33.333333,RETURNING,-31.581609,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
125,4.191667,33.333333,RETURNING,-31.982812,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
126,4.225000,33.333333,RESET,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
127,4.258333,33.333333,RESET,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
128,4.291667,33.333333,RESET,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
129,4.325000,33.333333,RESET,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
130,4.358333,33.333333,RESET,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
131,4.391667,33.333333,RESET,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
132,4.425000,33.333333,RESET,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
133,4.458333,33.333333,RESET,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
134,4.491667,33.333333,RESET,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
135,4.500000,33.333333,RESET,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
136,4.500000,33.333333,RESET,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
137,4.500000,33.333333,RESET,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
138,4.500000,33.333333,RESET,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
139,4.500000,33.333333,RESET,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
140,4.500000,33.333333,RESET,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
141,4.500000,33.333333,RESET,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
142,4.500000,33.333333,RESET,-32.000000,0.000000,0.000000,0.000000,false,0.00000000,0.00000000,0.00000000
